Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Light color (product.metafields.shopify.light-color),Necklace design (product.metafields.shopify.necklace-design),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Included / International,Price / International,Compare At Price / International,Included / United States,Price / United States,Compare At Price / United States,Status
minimalist-natural-pearl-shell-earrings,Natural Pearl and Tahitian Shell Earrings,"<p>Inspired by the mystery and purity of the deep sea, the elegant form of abalone shells is cleverly combined with the warm luster of pearls, showcasing the depth and charm of the ocean.</p>
<div class=""paragraph""><strong>Material:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">925 Sterling Silver</div>
</li>
<li>
<div class=""paragraph"">Natural Pearls</div>
</li>
<li>
<div class=""paragraph"">Tahitian Shell</div>
</li>
<li>
<div class=""paragraph"">Height:  0.787 inch (2CM)</div>
</li>
<li>
<div class=""paragraph"">Pearl size:  0.315 inch (8MM)</div>
</li>
</ul>
<div class=""paragraph""><strong>Key Features:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">High-quality 925 sterling silver and natural materials</div>
</li>
<li>
<div class=""paragraph"">Available in vintage gold and white gold colors</div>
</li>
<li>
<div class=""paragraph"">A simple yet sophisticated design that enhances any outfit</div>
</li>
</ul>",Camille Elisa Jewelry,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,true,Color,gold,product.metafields.shopify.color-pattern,,,,,,,"",0.0,shopify,continue,manual,55.50,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/7580dd79-dbca-476f-b81b-86067615de57.jpg?v=1742379262,1,"",false,,,194,,adult,,,,,,,,,,,adults,,gold; silver,dangle,sterling-silver,fine-jewelry,,,,,female,,,,,,g,,18.50,true,,,true,,,true,,,active
minimalist-natural-pearl-shell-earrings,,,,,,,,,silver,,,,,,,,"",0.0,shopify,continue,manual,55.50,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/Snipaste_2025-03-19_18-13-07.jpg?v=1742379262,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,18.50,,,,,,,,,,
minimalist-natural-pearl-shell-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/466e6ece-2a62-4bc3-bbd1-e797743b148c.jpg?v=1742379262,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minimalist-natural-pearl-shell-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/c84be096-398f-4359-a4ad-6618511b580a.jpg?v=1742379262,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vintage-natural-pearl-earrings,Vintage Natural Pearl Earrings,"<p>Using wood grain as the design element, combined with natural pearls, creates a beauty and warmth of nature. The silver earrings adopt exquisite inlay technology, perfectly blending pearls with wood grain, and the overall shape is elegant and generous.</p>
<div class=""paragraph""><strong>Material:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">925 Sterling Silver</div>
</li>
<li>
<div class=""paragraph"">Natural Pearls</div>
</li>
<li>
<div class=""paragraph"">Height: 1.18 inch (3cm)</div>
</li>
<li>
<div class=""paragraph"">Pearl size:  0.31 to 0.39 inch (0.8-1cm)</div>
</li>
</ul>
<div class=""paragraph""><strong>Key Features:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">High-quality 925 sterling silver and natural pearls</div>
</li>
<li>
<div class=""paragraph"">Available in vintage gold and white gold colors</div>
</li>
<li>
<div class=""paragraph"">A simple yet sophisticated design that enhances any outfit</div>
</li>
</ul>",Camille Elisa Jewelry,Apparel & Accessories > Jewelry > Earrings,earrings,Earrings,true,Color,silver,product.metafields.shopify.color-pattern,,,,,,,"",0.0,shopify,deny,manual,62.40,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/Snipaste_2025-03-19_18-00-39.jpg?v=1742378460,1,"",false,,,194,,adult,,,,,,,,,,,adults,,silver; shopify--color-pattern-3e90y7ps,dangle,sterling-silver; wood,fine-jewelry,,,,,female,,,,,,g,,20.80,true,,,true,,,true,,,active
vintage-natural-pearl-earrings,,,,,,,,,shopify--color-pattern-3e90y7ps,,,,,,,,"",0.0,shopify,deny,manual,62.40,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/dc456ecf-a587-421e-94c2-78dd86565db8.jpg?v=1742378441,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,20.80,,,,,,,,,,
vintage-natural-pearl-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/4eac6095-83bc-4b43-bb00-dcaa1b3b6adf.jpg?v=1742378440,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vintage-natural-pearl-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/44104e50-7a3a-47f9-90e2-e4c08e698c53.jpg?v=1742378441,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese-style-natural-pearl-and-cubic-zirconia-earrings,Chinese Style Natural Pearl and Cubic Zirconia Earrings,"<p>Perfectly combining traditional Chinese elements with modern fashion elements. The design of the outdoor windows seems to bring the beauty of nature to your ears.</p>
<div class=""paragraph""><strong>Material:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">925 Sterling Silver</div>
</li>
<li>
<div class=""paragraph"">Natural Pearls<br>
</div>
</li>
<li>
<div class=""paragraph"">Height: 1.977 inch(5CM)</div>
</li>
<li>
<div class=""paragraph"">Pearl size: 0.197 inch (5MM)</div>
</li>
</ul>
<div class=""paragraph""><strong>Key Features:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">High-quality 925 sterling silver and natural stones</div>
</li>
<li>
<div class=""paragraph"">Available in vintage gold and white gold colors</div>
</li>
<li>
<div class=""paragraph"">A simple yet sophisticated design that enhances any outfit</div>
</li>
</ul>",Camille Elisa Jewelry,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,true,Color,gold,product.metafields.shopify.color-pattern,,,,,,,"",0.0,shopify,deny,manual,89.90,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/4dfceda4-9707-4b6a-8648-cf687beaac8f.jpg?v=1742377412,1,"",false,,,194,,adult,,,,,,,,,,,adults,,gold; silver,dangle,sterling-silver; pearl,fine-jewelry,,,,,female,,,,,,g,,29.30,true,,,true,,,true,,,active
chinese-style-natural-pearl-and-cubic-zirconia-earrings,,,,,,,,,silver,,,,,,,,"",0.0,shopify,deny,manual,89.90,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/5e58db13-d1d4-4a16-9c76-bea2cf9ec58c.jpg?v=1742377484,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,29.30,,,,,,,,,,
chinese-style-natural-pearl-and-cubic-zirconia-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/Snipaste_2025-03-19_17-31-34.jpg?v=1742378311,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese-style-natural-pearl-and-cubic-zirconia-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/7fd206d9-cb82-4120-aef8-66a25f6b97c9.jpg?v=1742378311,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retro-fashion-earrings,Retro Golden Fashion Earrings,"<p>Each pair of earrings is hand carved by experienced craftsmen, and each cut is meticulously crafted to ensure the uniqueness of each piece. Earrings imitate natural textures, such as tree rings or rock cracks, giving them a primitive and pure beauty.</p>
<div class=""paragraph""><strong>Material:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">925 Sterling Silver</div>
</li>
</ul>
<ul start=""1"">
<li>
<div class=""paragraph"">Height: 0.787 inch (2CM)</div>
</li>
</ul>",Camille Elisa Jewelry,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,true,Color,silver,product.metafields.shopify.color-pattern,,,,,,,"",0.0,shopify,deny,manual,49.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/6e6745a2-470e-42d8-bb68-168c378f5b16.jpg?v=1742710256,1,"",false,,,194,,,,,,,,,,,,,,,silver; gold,,sterling-silver,imitation-jewelry,,,,,,,,,,,g,,33.00,true,,,true,,,true,,,active
retro-fashion-earrings,,,,,,,,,gold,,,,,,,,"",0.0,shopify,deny,manual,49.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/Snipaste_2025-03-19_17-27-33.jpg?v=1742710256,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,33.00,,,,,,,,,,
retro-fashion-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/0fa2d568-f9a9-4954-a2e6-2767a2d1386b.jpg?v=1742376449,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retro-fashion-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/81419f21-5db9-49cd-9e3d-fcd633a2f32c.jpg?v=1742376449,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minimalist-cubic-zircon-earrings,Minimalist Cubic Zircon Earrings,"<p><span>These minimalist cubic zircon earrings are a perfect blend of classic elegance and contemporary style. Crafted with high-quality S925 sterling silver and adorned with sparkling cubic zirconia, they feature a choice of vintage gold or white gold finish, making them a versatile accessory for any occasion.</span></p>
<div class=""paragraph""><strong>Material:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">925 Sterling Silver</div>
</li>
<li>
<div class=""paragraph"">Cubic Zirconia</div>
</li>
<li>
<div class=""paragraph"">Width: 0.79 inch (2cm)</div>
</li>
<li>
<div class=""paragraph"">Thickness:  0.14 inch(3.5mm)</div>
</li>
</ul>
<div class=""paragraph""><strong>Key Features:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">High-quality 925 sterling silver and cubic zirconia</div>
</li>
<li>
<div class=""paragraph"">Available in vintage gold and white gold colors</div>
</li>
<li>
<div class=""paragraph"">A simple yet sophisticated design that enhances any outfit</div>
</li>
</ul>",Camille Elisa Jewelry,Apparel & Accessories > Jewelry > Earrings,Earrings,"Earrings, Golden Glow",true,Title,Default Title,,,,,,,,"",0.0,shopify,continue,manual,54.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/46086dae-f367-48c9-be00-20769cb4445d.jpg?v=1742376109,1,"",false,,,194,,,,,,,,,,,,,,,gold,stud,sterling-silver; white-gold-1,fine-jewelry,,,,,,,,,,,g,,18.00,true,,,true,,,true,,,active
minimalist-cubic-zircon-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/cd7ca172-05ef-4c77-a67f-874312922039.jpg?v=1742376109,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minimalist-natural-pearl-necklace,Star Natural Pearl Necklace,"<p><span>This star natural pearl necklace is a perfect blend of classic elegance and contemporary style. Crafted with high-quality S925 sterling silver and adorned with natural pearls, it features a vintage gold finish, making it a versatile accessory for any occasion.</span></p>
<div class=""paragraph""><strong>Material:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">925 Sterling Silver</div>
</li>
<li>
<div class=""paragraph"">Natural Pearls</div>
</li>
<li>
<div class=""paragraph"">Chain length:15.75 inch (40cm) + 2.36 inch (6cm) extension</div>
</li>
<li>
<div class=""paragraph"">Pearl size: 0.197 inch (5mm)</div>
</li>
<li>
<div class=""paragraph"">Pendant height:  0.787 inch (2cm)</div>
</li>
<li>
<div class=""paragraph"">Pendant width:  0.472 inch(1.2cm)</div>
</li>
</ul>
<div class=""paragraph""><strong class="""">Key Features:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">High-quality 925 sterling silver and natural pearls</div>
</li>
<li>
<div class=""paragraph"">Vintage gold finish for a touch of sophistication</div>
</li>
<li>
<div class=""paragraph"">Adjustable chain length for a comfortable fit</div>
</li>
<li>
<div class=""paragraph"">A simple yet elegant design that enhances any outfit</div>
</li>
</ul>",Camille Elisa Jewelry,Apparel & Accessories > Jewelry > Necklaces,Necklace,"Necklace, pendant, pendants",true,Title,Default Title,,,,,,,,"",0.0,shopify,continue,manual,54.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/daceefb0-6a11-455d-ad0e-2109737eed30.jpg?v=1742374409,1,"",false,,,196,,,,,,,,,,,,,,,gold,,sterling-silver,fine-jewelry,,pendant,,,,,,,,,g,,17.00,true,,,true,,,true,,,active
minimalist-natural-pearl-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/022b8a28-8c61-4295-bf14-0f274124b628.jpg?v=1742374409,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minimalist-natural-pearl-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/dfec37a9-83ae-47ee-8003-c08835d99778.jpg?v=1742374409,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minimalist-natural-pearl-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/fa40b861-e303-4f48-a18d-1c680c2d2859.jpg?v=1742374409,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
golden-pearl-earrings,Elegant Golden Pearl Earrings,"<p>Pure handmade carving, with a retro texture and golden pearl earrings, is the perfect crystallization of elegance and delicacy. Each pearl is cleverly outlined by a golden metal ring, exuding a charming retro charm.<br></p>
<div class=""paragraph""><strong>Material:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">925 Sterling Silver</div>
</li>
<li>
<div class=""paragraph"">Natural Pearls</div>
</li>
<li>
<div class=""paragraph"">Width: 0.79 inch (2cm)</div>
</li>
<li>
<div class=""paragraph"">Pearl size: 0.354 inch (9mm)</div>
</li>
</ul>
<div class=""paragraph""><strong>Key Features:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">High-quality 925 sterling silver and natural pearls</div>
</li>
<li>
<div class=""paragraph"">Available in white gold and vintage gold colors</div>
</li>
<li>
<div class=""paragraph"">A simple yet sophisticated design that enhances any outfit</div>
</li>
</ul>",Camille Elisa Jewelry,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,true,Color,gold,product.metafields.shopify.color-pattern,,,,,,,"",0.0,shopify,continue,manual,60.54,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/cc8c29d8-86a4-4e05-b95e-465c12872196.jpg?v=1742373959,1,"",false,,,194,,adult,,,,,,,,,,,adults,,gold; silver,hoop,sterling-silver; pearl,fine-jewelry,,,,,female,,,,,,g,,20.16,true,,,true,,,true,,,active
golden-pearl-earrings,,,,,,,,,silver,,,,,,,,"",0.0,shopify,continue,manual,60.54,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/Snipaste_2025-03-19_16-45-40.jpg?v=1742373959,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,20.16,,,,,,,,,,
golden-pearl-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/ee18e0b1-32ec-4d04-a68d-8a1ab7838eef.jpg?v=1742373960,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
golden-pearl-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/ef26800b-12c6-426d-87e2-0064d3bc6eb2.jpg?v=1742373959,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
golden-crescent-moon-ethnic-earrings,Golden Crescent Moon Ethnic Earrings,"<p><span>Golden crescent moon ethnic earrings are a perfect blend of fashion and tradition. The exquisite patterns tell ancient stories, with each line embodying profound cultural heritage.</span></p>
<div class=""paragraph""><strong>Material:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">925 Sterling Silver</div>
</li>
<li>
<div class=""paragraph"">Height: 1.777 inch(4.5cm)</div>
</li>
</ul>
<div class=""paragraph""><strong class="""">Key Features:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">High-quality 925 sterling silver</div>
</li>
<li>
<div class=""paragraph"">Available in white gold and vintage gold colors</div>
</li>
<li>
<div class=""paragraph"">A simple yet sophisticated design that enhances any outfit</div>
</li>
</ul>",Camille Elisa Jewelry,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,true,Color,gold,product.metafields.shopify.color-pattern,,,,,,,"",0.0,shopify,deny,manual,57.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/d23d7378-cf8b-4b14-9a79-4bdc2f91390b.jpg?v=1742711409,1,"",false,,,194,,,,,,,,,,,,,,,gold; silver,,sterling-silver,fine-jewelry,,,,,,,,,,,g,,19.04,true,,,true,,,true,,,active
golden-crescent-moon-ethnic-earrings,,,,,,,,,silver,,,,,,,,"",0.0,shopify,deny,manual,57.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/1dc78969-5fde-4173-8778-b3b2eb51704a.jpg?v=1742711409,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,19.04,,,,,,,,,,
golden-crescent-moon-ethnic-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/7ecb9be0-3865-4d6e-b913-5c4a821c1bc1.jpg?v=1742711409,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
golden-crescent-moon-ethnic-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/21b89a8f-7cf0-473e-8aa4-5969b8f64702.jpg?v=1742711409,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vintage-heart-shaped-cubic-zirconia-earrings,Vintage Heart-shaped Cubic Zirconia Earrings,"<p><span>Heart-shaped gold earrings, like a dazzling treasure from a Gothic palace, capture the heart at first sight. The exquisite pink gemstones set within emit a charming glow, adding a touch of romance and mystery to the overall look</span></p>
<div class=""paragraph""><strong>Material:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">925 Sterling Silver</div>
</li>
<li>
<div class=""paragraph"">Cubic Zirconia</div>
</li>
<li>
<div class=""paragraph"">Earring height: 0.59 inche(1.5cm)</div>
</li>
<li>
<div class=""paragraph"">Earring width:  0.315 inch (8mm)</div>
</li>
</ul>
<div class=""paragraph""><strong>Key Features:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">High-quality 925 sterling silver and cubic zirconia</div>
</li>
<li>
<div class=""paragraph"">Available in white gold and vintage gold colors</div>
</li>
<li>
<div class=""paragraph"">A simple yet sophisticated design that enhances any outfit</div>
</li>
</ul>",Camille Elisa Jewelry,Apparel & Accessories > Jewelry > Earrings,Earrings,Earrings,true,Color,shopify--color-pattern-3e90y7ps,product.metafields.shopify.color-pattern,,,,,,,"",0.0,shopify,deny,manual,98.56,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/Snipaste_2025-03-19_16-29-08.jpg?v=1742373143,1,"",false,,,194,,adult,,,,,,,,,,,adults,,shopify--color-pattern-3e90y7ps; silver,drop,sterling-silver; gold,fine-jewelry,,,,,female,,,,,,g,,,true,,,true,,,true,,,active
vintage-heart-shaped-cubic-zirconia-earrings,,,,,,,,,silver,,,,,,,,"",0.0,shopify,deny,manual,96.04,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/Snipaste_2025-03-19_16-35-53.jpg?v=1742373373,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
vintage-heart-shaped-cubic-zirconia-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/Snipaste_2025-03-19_16-29-19.jpg?v=1742373373,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vintage-heart-shaped-cubic-zirconia-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/Snipaste_2025-03-19_16-29-26.jpg?v=1742373373,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vintage-natural-pearl-turquoise-and-jasper-bracelet,"Dream: Vintage Natural Pearl, Turquoise, and Jasper Bracelet","<p><span>Inspired by Van Gogh's 'Starry Night,' this piece integrates the beauty of art into fashionable accessories. It enables your dream comes true. The gemstones are meticulously set with a variety of colors, creating a dazzling and vibrant look.</span></p>
<div class=""paragraph""><strong>Material:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">925 Sterling Silver</div>
</li>
<li>
<div class=""paragraph"">Natural Pearls</div>
</li>
<li>
<div class=""paragraph"">Turquoise</div>
</li>
<li>
<div class=""paragraph"">Jasper</div>
</li>
<li>
<div class=""paragraph"">Bracelet length: 6.3 inch (16CM) + 2.36 inch (6CM) adjustable extension</div>
</li>
<li>
<div class=""paragraph"">Pearl size: 0.157 to 0.197 inch (4-5MM)</div>
</li>
</ul>
<div class=""paragraph""><strong>Key Features:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">High-quality 925 sterling silver and natural stones</div>
</li>
<li>
<div class=""paragraph"">Vintage gold finish for a touch of sophistication</div>
</li>
<li>
<div class=""paragraph"">Adjustable chain length for a comfortable fit</div>
</li>
<li>
<div class=""paragraph"">A simple yet elegant design that enhances any outfit</div>
</li>
</ul>",Camille Elisa Jewelry,Apparel & Accessories > Jewelry > Bracelets,Bracelet,Bracelet,true,Title,Default Title,,,,,,,,"",0.0,shopify,continue,manual,79.80,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/6b8ec73c-214c-47ba-95c9-dc0937071c99.jpg?v=1742372673,1,"",false,,,191,,adult,,,,,,,,,,,adults,beaded,geometric,,sterling-silver,fine-jewelry,,,,,unisex,,,,,,g,,26.60,true,,,true,,,true,,,active
vintage-natural-pearl-turquoise-and-jasper-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/18f8931f-6ea2-45d3-a12c-93a3bdae6531.jpg?v=1742372673,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vintage-natural-pearl-turquoise-and-jasper-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/6cb9636f-e961-4408-a713-0d87b4c3d2ad.jpg?v=1742372673,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vintage-natural-pearl-turquoise-and-jasper-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/ef007c4d-12a0-4e97-886b-a8c5245cb716.jpg?v=1742372673,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vintage-natural-pearl-turquoise-and-jasper-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0866/5120/7992/files/c47f17e0-6130-429f-84cc-78341435d196.jpg?v=1742372673,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minimalist-natural-pearl-and-malachite-bracelet,Beauty: Stylish Natural Pearl and Malachite Bracelet,"<p><span>This stylish natural pearl and malachite bracelet is a perfect blend of classic elegance and contemporary style. Crafted with high-quality 925 sterling silver, it features natural pearls and malachite stones, all set in a vintage gold finish, making it a versatile accessory for any occasion.</span></p>
<div class=""paragraph""><strong>Material:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">925 Sterling Silver</div>
</li>
<li>
<div class=""paragraph"">Natural Pearls</div>
</li>
<li>
<div class=""paragraph"">Malachite</div>
</li>
<li>
<div class=""paragraph"">Bracelet length: 5.9 inch (15CM) + 2.36 inch (6CM) adjustable extender</div>
</li>
<li>
<div class=""paragraph"">Pearl size: 0.157 inch (4MM) x 0.197 inch (5MM)</div>
</li>
</ul>
<div class=""paragraph""><strong>Key Features:</strong></div>
<ul start=""1"">
<li>
<div class=""paragraph"">High-quality 925 sterling silver and natural stones</div>
</li>
<li>
<div class=""paragraph"">Vintage gold finish for a touch of sophistication</div>
</li>
<li>
<div class=""paragraph"">Adjustable chain length for a comfortable fit</div>
</li>
<li>
<div class=""paragraph"">A simple yet elegant design that enhances any outfit</div>
</li>
</ul>",Camille Elisa Jewelry,Apparel & Accessories > Jewelry > Bracelets,Bracelet,Bracelet,true,Title,Default Title,,,,,,,,"",0.0,shopify,continue,manual,99.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0866/5120/7992/files/7aa6cf8d-61c4-41fc-b4f9-634487ad9e80.jpg?v=1742372383,1,"",false,,,191,,adult,,,,,,,,,,,adults,beaded,gold,,sterling-silver; pearl,fine-jewelry,,,,,unisex,,,,,,g,,28.40,true,,,true,,,true,,,active
